Status,Studio Type,Name,URL,Neighborhood,Booking Platform,Contact Email,Founder(s),Notes
Connected,Mixed,RecCreate Collective,https://www.reccreatecollective.com,Clinton Hill Brooklyn,Luma,hello@reccreatecollective.com,Liz Chick,Reached out to founder via Instagram DM
Connected,Mixed,ThirdSpace,https://www.eventbrite.com/o/thirdspace-79035108963,,Eventbrite,,Monica Kraeger,Reached out to Monica via LinkedIn
Connected,Mixed,Recess Grove,https://www.recessgrove.com,Williamsburg Brooklyn,Webshop (own site),justin@recessgrove.com,Justin Wheeler et al.,"In touch with Justin, can reach out anytime. 327 Grand Street."
Reached out,Mixed,ResoBox,https://resobox.com,East Village Manhattan,Square / own site,info@resobox.com,Takashi Ikezawa,"Reached out via LinkedIn (4/21). 91 E 3rd Street."
Reached out,Mixed,Kaleidoscope Studios,https://www.futurespace.studio/,Bushwick Brooklyn,Custom (futurespace.studio),info@futurespace.studio,Emma Prinsen,"Reached out via LinkedIn (4/21). Original URL (kaleidoscopestudios.net) now redirects to futurespace.studio — may have rebranded. 267 Irving Ave."
Reached out,Mixed,After Hours Club,https://www.afterhoursclubnyc.com,,Luma,riki@afterhoursclubnyc.com,Riki Zahn,Reached out via email + LinkedIn (4/21). No fixed address found.
Reached out,Mixed,Studio45,https://www.studio45bk.com,Bushwick Brooklyn,Webshop (own site),studio45bk@gmail.com,Vivian & Ali Wu,213 Troutman Street.
Reached out,Drawing/Painting,NYC Drawing Room,https://www.nycdrawingroom.com,"Midtown + Williamsburg, Manhattan/Brooklyn",Momence,info@nycdrawingroom.com,Angela,"Two locations: 247 W 30th St (Midtown) and 101 N 10th St (Williamsburg). Booking platform is Momence — not Luma as previously noted. Reached out to Adriana via Discord."
Reached out,Paper,Odette Press,https://www.odettepress.us,,Unknown (uses Linktree),odettepress@gmail.com,Kelly Laughlin,"Reached out via LinkedIn 4/21. Booking platform unclear — events linked via Linktree. No address found."
Reached out,Mixed,Here to Sunday,https://www.heretosunday.com,Park Slope Brooklyn,Shopify,shop@heretosunday.com,,"567 Union Street. Confirmed Shopify store."
In progress,Printing,Secret Riso Club,https://secretrisoclub.com,,Acuity + With Friends,studio@secretrisoclub.com,Gonzalo Guerrero & Tara Ridgedell,"Site returning 503 — temporarily unavailable. Reached out to Xena Brar via LinkedIn (founder not active)."
In progress,Mixed,Brooklyn Brainery,https://brooklynbrainery.com,Prospect Heights Brooklyn,Custom (own platform),jen@brooklynbrainery.com,Jen Messier,190 Underhill Ave. Custom-built class management system.
Not started,Food/Drink,Atelier Sucré,https://www.ateliersucreny.com/new-york-workshops,East Village Manhattan,Unknown,info@ateliersucreny.com,,"104 East 7th Street. Booking platform not identifiable from site."
Not started,Music,Gaia Music Collective,https://www.eventbrite.com/o/gaia-music-collective-44369305153,,Eventbrite,,,
Not started,Plants/Botanics,New York Botanical Garden,https://www.nybg.org/education/adult-education/classes-by-subject/,Bronx,Enrole,,,Uses Enrole platform (enrole.com/nybg) for class registration.
Not started,Plants/Botanics,Bonsai Bar,https://bonsaibar.com,,Fareharbor,,,"Pop-up workshops at venues across NYC — no fixed address. Fareharbor confirmed."
Not started,Plants/Botanics,Brooklyn Botanic Garden,https://www.bbg.org/learn/adult_programs,Crown Heights Brooklyn,Unknown,,,Booking platform not identified from site.
